Record Length,2500,Points,-1.6500001E-3,-59.999998659E-3,,Record Length,2500,Points,-1.6500001E-3,419.999986887E-3,
Sample Interval,1.000000E-6,s,-1.6490001E-3,-79.999998212E-3,,Sample Interval,1.000000E-6,s,-1.6490001E-3,419.999986887E-3,
Trigger Point,1.6500002E3,Samples,-1.6480001E-3,-79.999998212E-3,,Trigger Point,1.6500002E3,Samples,-1.6480001E-3,419.999986887E-3,
,,,-1.6470001E-3,-99.999994040E-3,,,,,-1.6470001E-3,399.99997616E-3,
,,,-1.6460001E-3,-99.999994040E-3,,,,,-1.6460001E-3,399.99997616E-3,
,,,-1.6450001E-3,-119.9999973E-3,,,,,-1.6450001E-3,399.99997616E-3,
Source,CH1,,-1.6440001E-3,-119.9999973E-3,,Source,CH2,,-1.6440001E-3,379.99999523E-3,
Vertical Units,Volts,,-1.6430001E-3,-119.9999973E-3,,Vertical Units,Volts,,-1.6430001E-3,379.99999523E-3,
Vertical Scale,499.999988824E-3,,-1.6420002E-3,-140.0000006E-3,,Vertical Scale,499.999988824E-3,,-1.6420002E-3,359.99998450E-3,
Vertical Offset,0,,-1.6410002E-3,-140.0000006E-3,,Vertical Offset,0,,-1.6410002E-3,359.99998450E-3,
Horizontal Units,s,,-1.6400001E-3,-140.0000006E-3,,Horizontal Units,s,,-1.6400001E-3,359.99998450E-3,
Horizontal Scale,249.99999937E-6,,-1.6390001E-3,-159.99999642E-3,,Horizontal Scale,249.99999937E-6,,-1.6390001E-3,340.00000358E-3,
Pt Fmt,Y,,-1.6380001E-3,-159.99999642E-3,,Pt Fmt,Y,,-1.6380001E-3,340.00000358E-3,
Yzero,0.0,,-1.6370001E-3,-179.99999225E-3,,Yzero,0.0,,-1.6370001E-3,319.99999285E-3,
Probe Atten,1.000000,,-1.6360001E-3,-179.99999225E-3,,Probe Atten,1.000000,,-1.6360001E-3,319.99999285E-3,
,,,-1.6350001E-3,-199.99998808E-3,,,,,-1.6350001E-3,319.99999285E-3,
Note,TBS 1052B-EDU - 02:15:41 p.m.   05/09/2022,,-1.6340001E-3,-199.99998808E-3,,Note,TBS 1052B-EDU - 02:15:41 p.m.   05/09/2022,,-1.6340001E-3,299.99998212E-3,
,,,-1.6330001E-3,-199.99998808E-3,,,,,-1.6330001E-3,299.99998212E-3,
,,,-1.6320001E-3,-219.99999881E-3,,,,,-1.6320001E-3,280.00000119E-3,
,,,-1.6310001E-3,-219.99999881E-3,,,,,-1.6310001E-3,280.00000119E-3,
,,,-1.6300001E-3,-219.99999881E-3,,,,,-1.6300001E-3,259.99999046E-3,
,,,-1.6290001E-3,-239.99999464E-3,,,,,-1.6290001E-3,259.99999046E-3,
,,,-1.6280001E-3,-239.99999464E-3,,,,,-1.6280001E-3,239.99999464E-3,
,,,-1.6270002E-3,-259.99999046E-3,,,,,-1.6270002E-3,239.99999464E-3,
,,,-1.6260002E-3,-259.99999046E-3,,,,,-1.6260002E-3,239.99999464E-3,
,,,-1.6250001E-3,-259.99999046E-3,,,,,-1.6250001E-3,219.99999881E-3,
,,,-1.6240001E-3,-280.00000119E-3,,,,,-1.6240001E-3,219.99999881E-3,
,,,-1.6230001E-3,-280.00000119E-3,,,,,-1.6230001E-3,199.99998808E-3,
,,,-1.6220001E-3,-280.00000119E-3,,,,,-1.6220001E-3,199.99998808E-3,
,,,-1.6210001E-3,-299.99998212E-3,,,,,-1.6210001E-3,199.99998808E-3,
,,,-1.6200001E-3,-299.99998212E-3,,,,,-1.6200001E-3,179.99999225E-3,
,,,-1.6190001E-3,-299.99998212E-3,,,,,-1.6190001E-3,179.99999225E-3,
,,,-1.6180001E-3,-319.99999285E-3,,,,,-1.6180001E-3,179.99999225E-3,
,,,-1.6170001E-3,-319.99999285E-3,,,,,-1.6170001E-3,159.99999642E-3,
,,,-1.6160001E-3,-340.00000358E-3,,,,,-1.6160001E-3,140.0000006E-3,
,,,-1.6150001E-3,-340.00000358E-3,,,,,-1.6150001E-3,140.0000006E-3,
,,,-1.6140001E-3,-340.00000358E-3,,,,,-1.6140001E-3,140.0000006E-3,
,,,-1.6130001E-3,-359.99998450E-3,,,,,-1.6130001E-3,119.9999973E-3,
,,,-1.6120001E-3,-359.99998450E-3,,,,,-1.6120001E-3,119.9999973E-3,
,,,-1.6110002E-3,-359.99998450E-3,,,,,-1.6110002E-3,99.999994040E-3,
,,,-1.6100002E-3,-379.99999523E-3,,,,,-1.6100002E-3,99.999994040E-3,
,,,-1.6090001E-3,-379.99999523E-3,,,,,-1.6090001E-3,99.999994040E-3,
,,,-1.6080001E-3,-379.99999523E-3,,,,,-1.6080001E-3,79.999998212E-3,
,,,-1.6070001E-3,-399.99997616E-3,,,,,-1.6070001E-3,79.999998212E-3,
,,,-1.6060001E-3,-399.99997616E-3,,,,,-1.6060001E-3,59.999998659E-3,
,,,-1.6050001E-3,-419.999986887E-3,,,,,-1.6050001E-3,59.999998659E-3,
,,,-1.6040001E-3,-419.999986887E-3,,,,,-1.6040001E-3,39.99999911E-3,
,,,-1.6030001E-3,-419.999986887E-3,,,,,-1.6030001E-3,39.99999911E-3,
,,,-1.6020001E-3,-439.999997616E-3,,,,,-1.6020001E-3,39.99999911E-3,
,,,-1.6010001E-3,-439.999997616E-3,,,,,-1.6010001E-3,19.9999996E-3,
,,,-1.6000001E-3,-439.999997616E-3,,,,,-1.6000001E-3,19.9999996E-3,
,,,-1.5990001E-3,-459.999978542E-3,,,,,-1.5990001E-3,0.0,
,,,-1.5980001E-3,-459.999978542E-3,,,,,-1.5980001E-3,0.0,
,,,-1.5970001E-3,-479.999989271E-3,,,,,-1.5970001E-3,-19.9999996E-3,
,,,-1.5960002E-3,-479.999989271E-3,,,,,-1.5960002E-3,-19.9999996E-3,
,,,-1.5950002E-3,-479.999989271E-3,,,,,-1.5950002E-3,-19.9999996E-3,
,,,-1.5940001E-3,-500.000000000E-3,,,,,-1.5940001E-3,-39.99999911E-3,
,,,-1.5930001E-3,-500.000000000E-3,,,,,-1.5930001E-3,-39.99999911E-3,
,,,-1.5920001E-3,-500.000000000E-3,,,,,-1.5920001E-3,-59.999998659E-3,
,,,-1.5910001E-3,-519.999980927E-3,,,,,-1.5910001E-3,-59.999998659E-3,
,,,-1.5900001E-3,-519.999980927E-3,,,,,-1.5900001E-3,-79.999998212E-3,
,,,-1.5890001E-3,-519.999980927E-3,,,,,-1.5890001E-3,-79.999998212E-3,
,,,-1.5880001E-3,-539.999961853E-3,,,,,-1.5880001E-3,-79.999998212E-3,
,,,-1.5870001E-3,-539.999961853E-3,,,,,-1.5870001E-3,-99.999994040E-3,
,,,-1.5860001E-3,-539.999961853E-3,,,,,-1.5860001E-3,-99.999994040E-3,
,,,-1.5850001E-3,-560.000002384E-3,,,,,-1.5850001E-3,-119.9999973E-3,
,,,-1.5840001E-3,-560.000002384E-3,,,,,-1.5840001E-3,-119.9999973E-3,
,,,-1.5830001E-3,-560.000002384E-3,,,,,-1.5830001E-3,-140.0000006E-3,
,,,-1.5820001E-3,-579.999983311E-3,,,,,-1.5820001E-3,-140.0000006E-3,
,,,-1.5810002E-3,-579.999983311E-3,,,,,-1.5810002E-3,-140.0000006E-3,
,,,-1.5800002E-3,-599.999964237E-3,,,,,-1.5800002E-3,-159.99999642E-3,
,,,-1.5790001E-3,-599.999964237E-3,,,,,-1.5790001E-3,-159.99999642E-3,
,,,-1.5780001E-3,-599.999964237E-3,,,,,-1.5780001E-3,-179.99999225E-3,
,,,-1.5770001E-3,-599.999964237E-3,,,,,-1.5770001E-3,-179.99999225E-3,
,,,-1.5760001E-3,-620.000004768E-3,,,,,-1.5760001E-3,-179.99999225E-3,
,,,-1.5750001E-3,-620.000004768E-3,,,,,-1.5750001E-3,-199.99998808E-3,
,,,-1.5740001E-3,-620.000004768E-3,,,,,-1.5740001E-3,-199.99998808E-3,
,,,-1.5730001E-3,-639.999985695E-3,,,,,-1.5730001E-3,-219.99999881E-3,
,,,-1.5720001E-3,-639.999985695E-3,,,,,-1.5720001E-3,-219.99999881E-3,
,,,-1.5710001E-3,-639.999985695E-3,,,,,-1.5710001E-3,-219.99999881E-3,
,,,-1.5700001E-3,-659.999966621E-3,,,,,-1.5700001E-3,-239.99999464E-3,
,,,-1.5690001E-3,-659.999966621E-3,,,,,-1.5690001E-3,-239.99999464E-3,
,,,-1.5680001E-3,-659.999966621E-3,,,,,-1.5680001E-3,-259.99999046E-3,
,,,-1.5670001E-3,-680.000007153E-3,,,,,-1.5670001E-3,-259.99999046E-3,
,,,-1.5660000E-3,-680.000007153E-3,,,,,-1.5660000E-3,-280.00000119E-3,
,,,-1.5650002E-3,-699.999988079E-3,,,,,-1.5650002E-3,-280.00000119E-3,
,,,-1.5640002E-3,-699.999988079E-3,,,,,-1.5640002E-3,-299.99998212E-3,
,,,-1.5630001E-3,-699.999988079E-3,,,,,-1.5630001E-3,-299.99998212E-3,
,,,-1.5620001E-3,-719.999969006E-3,,,,,-1.5620001E-3,-319.99999285E-3,
,,,-1.5610001E-3,-719.999969006E-3,,,,,-1.5610001E-3,-319.99999285E-3,
,,,-1.5600001E-3,-719.999969006E-3,,,,,-1.5600001E-3,-319.99999285E-3,
,,,-1.5590001E-3,-719.999969006E-3,,,,,-1.5590001E-3,-340.00000358E-3,
,,,-1.5580001E-3,-740.000009537E-3,,,,,-1.5580001E-3,-340.00000358E-3,
,,,-1.5570001E-3,-740.000009537E-3,,,,,-1.5570001E-3,-359.99998450E-3,
,,,-1.5560001E-3,-740.000009537E-3,,,,,-1.5560001E-3,-359.99998450E-3,
,,,-1.5550001E-3,-759.999990463E-3,,,,,-1.5550001E-3,-359.99998450E-3,
,,,-1.5540001E-3,-759.999990463E-3,,,,,-1.5540001E-3,-379.99999523E-3,
,,,-1.5530001E-3,-759.999990463E-3,,,,,-1.5530001E-3,-379.99999523E-3,
,,,-1.5520001E-3,-779.999971390E-3,,,,,-1.5520001E-3,-379.99999523E-3,
,,,-1.5510001E-3,-779.999971390E-3,,,,,-1.5510001E-3,-399.99997616E-3,
,,,-1.5500002E-3,-779.999971390E-3,,,,,-1.5500002E-3,-399.99997616E-3,
,,,-1.5490002E-3,-779.999971390E-3,,,,,-1.5490002E-3,-419.999986887E-3,
,,,-1.5480001E-3,-799.999952316E-3,,,,,-1.5480001E-3,-419.999986887E-3,
,,,-1.5470001E-3,-799.999952316E-3,,,,,-1.5470001E-3,-439.999997616E-3,
,,,-1.5460001E-3,-799.999952316E-3,,,,,-1.5460001E-3,-439.999997616E-3,
,,,-1.5450001E-3,-819.999992847E-3,,,,,-1.5450001E-3,-439.999997616E-3,
,,,-1.5440001E-3,-819.999992847E-3,,,,,-1.5440001E-3,-459.999978542E-3,
,,,-1.5430001E-3,-819.999992847E-3,,,,,-1.5430001E-3,-459.999978542E-3,
,,,-1.5420001E-3,-839.999973774E-3,,,,,-1.5420001E-3,-479.999989271E-3,
,,,-1.5410001E-3,-839.999973774E-3,,,,,-1.5410001E-3,-479.999989271E-3,
,,,-1.5400001E-3,-839.999973774E-3,,,,,-1.5400001E-3,-479.999989271E-3,
,,,-1.5390001E-3,-859.999954700E-3,,,,,-1.5390001E-3,-500.000000000E-3,
,,,-1.5380001E-3,-859.999954700E-3,,,,,-1.5380001E-3,-500.000000000E-3,
,,,-1.5370001E-3,-859.999954700E-3,,,,,-1.5370001E-3,-519.999980927E-3,
,,,-1.5360001E-3,-859.999954700E-3,,,,,-1.5360001E-3,-519.999980927E-3,
