Record Length,2500,Points,388.19998736E-6,0.0,,Record Length,2500,Points,388.19998736E-6,0.0,
Sample Interval,999.999967622E-12,s,388.20097689E-6,0.0,,Sample Interval,999.999967622E-12,s,388.20097689E-6,0.0,
Trigger Point,-388.20001677E3,Samples,388.20199552E-6,0.0,,Trigger Point,-388.20001677E3,Samples,388.20199552E-6,39.99999911E-3,
,,,388.20298505E-6,39.99999911E-3,,,,,388.20298505E-6,0.0,
,,,388.20397458E-6,0.0,,,,,388.20397458E-6,-39.99999911E-3,
,,,388.20499321E-6,0.0,,,,,388.20499321E-6,0.0,
Source,CH1,,388.20598274E-6,0.0,,Source,CH2,,388.20598274E-6,0.0,
Vertical Units,Volts,,388.20700138E-6,0.0,,Vertical Units,Volts,,388.20700138E-6,0.0,
Vertical Scale,999.999977648E-3,,388.20799091E-6,39.99999911E-3,,Vertical Scale,999.999977648E-3,,388.20799091E-6,39.99999911E-3,
Vertical Offset,0,,388.20898044E-6,39.99999911E-3,,Vertical Offset,0,,388.20898044E-6,39.99999911E-3,
Horizontal Units,s,,388.20999907E-6,39.99999911E-3,,Horizontal Units,s,,388.20999907E-6,39.99999911E-3,
Horizontal Scale,249.99999293E-9,,388.21098860E-6,0.0,,Horizontal Scale,249.99999293E-9,,388.21098860E-6,0.0,
Pt Fmt,Y,,388.21197813E-6,0.0,,Pt Fmt,Y,,388.21197813E-6,0.0,
Yzero,0.0,,388.21299677E-6,0.0,,Yzero,0.0,,388.21299677E-6,0.0,
Probe Atten,1.000000,,388.21398630E-6,39.99999911E-3,,Probe Atten,1.000000,,388.21398630E-6,0.0,
,,,388.21497583E-6,39.99999911E-3,,,,,388.21497583E-6,39.99999911E-3,
Note,TBS 1052B-EDU - 01:19:28 p.m.   07/11/2022,,388.21599446E-6,0.0,,Note,TBS 1052B-EDU - 01:19:28 p.m.   07/11/2022,,388.21599446E-6,0.0,
,,,388.21698399E-6,0.0,,,,,388.21698399E-6,0.0,
,,,388.21797352E-6,0.0,,,,,388.21797352E-6,39.99999911E-3,
,,,388.21899216E-6,39.99999911E-3,,,,,388.21899216E-6,39.99999911E-3,
,,,388.21998169E-6,0.0,,,,,388.21998169E-6,0.0,
,,,388.22100032E-6,0.0,,,,,388.22100032E-6,-39.99999911E-3,
,,,388.22198985E-6,39.99999911E-3,,,,,388.22198985E-6,-39.99999911E-3,
,,,388.22297938E-6,0.0,,,,,388.22297938E-6,-39.99999911E-3,
,,,388.22399802E-6,0.0,,,,,388.22399802E-6,0.0,
,,,388.22498755E-6,0.0,,,,,388.22498755E-6,0.0,
,,,388.22597708E-6,0.0,,,,,388.22597708E-6,0.0,
,,,388.22699571E-6,0.0,,,,,388.22699571E-6,39.99999911E-3,
,,,388.22798524E-6,39.99999911E-3,,,,,388.22798524E-6,0.0,
,,,388.22897477E-6,39.99999911E-3,,,,,388.22897477E-6,0.0,
,,,388.22999340E-6,0.0,,,,,388.22999340E-6,0.0,
