Record Length,2500,Points,-45.00000068E-6,1.1200000,,Record Length,2500,Points,-45.00000068E-6,1.3000000,
Sample Interval,19.9999999E-9,s,-44.97999907E-6,1.1200000,,Sample Interval,19.9999999E-9,s,-44.97999907E-6,1.3000000,
Trigger Point,2.2500002E3,Samples,-44.96000111E-6,1.1200000,,Trigger Point,2.2500002E3,Samples,-44.96000111E-6,1.2800000,
,,,-44.93999950E-6,1.1200000,,,,,-44.93999950E-6,1.3000000,
,,,-44.92000153E-6,1.1400000,,,,,-44.92000153E-6,1.2800000,
,,,-44.89999992E-6,1.1400000,,,,,-44.89999992E-6,1.2800000,
Source,CH1,,-44.88000195E-6,1.1400000,,Source,CH2,,-44.88000195E-6,1.2800000,
Vertical Units,Volts,,-44.86000034E-6,1.1400000,,Vertical Units,Volts,,-44.86000034E-6,1.2600000,
Vertical Scale,499.999988824E-3,,-44.84000237E-6,1.1400000,,Vertical Scale,499.999988824E-3,,-44.84000237E-6,1.2600000,
Vertical Offset,0,,-44.82000077E-6,1.1600000,,Vertical Offset,0,,-44.82000077E-6,1.2600000,
Horizontal Units,s,,-44.79999916E-6,1.1400000,,Horizontal Units,s,,-44.79999916E-6,1.2600000,
Horizontal Scale,4.99999997E-6,,-44.78000119E-6,1.1400000,,Horizontal Scale,4.99999997E-6,,-44.78000119E-6,1.2400000,
Pt Fmt,Y,,-44.75999958E-6,1.1400000,,Pt Fmt,Y,,-44.75999958E-6,1.2400000,
Yzero,0.0,,-44.74000161E-6,1.1600000,,Yzero,0.0,,-44.74000161E-6,1.2400000,
Probe Atten,1.000000,,-44.72000001E-6,1.1600000,,Probe Atten,1.000000,,-44.72000001E-6,1.2200000,
,,,-44.70000204E-6,1.1600000,,,,,-44.70000204E-6,1.2200000,
Note,TBS 1052B-EDU - 02:40:06 p.m.   05/09/2022,,-44.68000043E-6,1.1600000,,Note,TBS 1052B-EDU - 02:40:06 p.m.   05/09/2022,,-44.68000043E-6,1.2200000,
,,,-44.66000246E-6,1.1600000,,,,,-44.66000246E-6,1.2200000,
,,,-44.64000085E-6,1.1600000,,,,,-44.64000085E-6,1.2200000,
,,,-44.61999924E-6,1.1600000,,,,,-44.61999924E-6,1.2200000,
,,,-44.60000127E-6,1.1799999,,,,,-44.60000127E-6,1.1999999,
,,,-44.57999967E-6,1.1799999,,,,,-44.57999967E-6,1.1999999,
,,,-44.56000170E-6,1.1600000,,,,,-44.56000170E-6,1.1799999,
,,,-44.54000009E-6,1.1799999,,,,,-44.54000009E-6,1.1799999,
,,,-44.52000212E-6,1.1799999,,,,,-44.52000212E-6,1.1799999,
,,,-44.50000051E-6,1.1799999,,,,,-44.50000051E-6,1.1799999,
,,,-44.47999891E-6,1.1799999,,,,,-44.47999891E-6,1.1600000,
,,,-44.46000094E-6,1.1799999,,,,,-44.46000094E-6,1.1600000,
,,,-44.43999933E-6,1.1799999,,,,,-44.43999933E-6,1.1600000,
,,,-44.42000136E-6,1.1799999,,,,,-44.42000136E-6,1.1600000,
,,,-44.39999975E-6,1.1799999,,,,,-44.39999975E-6,1.1400000,
,,,-44.38000178E-6,1.1799999,,,,,-44.38000178E-6,1.1200000,
,,,-44.36000017E-6,1.1999999,,,,,-44.36000017E-6,1.1200000,
,,,-44.34000220E-6,1.1799999,,,,,-44.34000220E-6,1.1000000,
,,,-44.32000060E-6,1.1799999,,,,,-44.32000060E-6,1.1200000,
,,,-44.29999899E-6,1.1999999,,,,,-44.29999899E-6,1.1000000,
,,,-44.28000102E-6,1.1799999,,,,,-44.28000102E-6,1.1000000,
,,,-44.25999941E-6,1.1999999,,,,,-44.25999941E-6,1.1000000,
,,,-44.24000144E-6,1.1799999,,,,,-44.24000144E-6,1.1000000,
,,,-44.21999984E-6,1.1999999,,,,,-44.21999984E-6,1.0799999,
,,,-44.20000187E-6,1.1999999,,,,,-44.20000187E-6,1.0799999,
,,,-44.18000026E-6,1.1799999,,,,,-44.18000026E-6,1.0599999,
,,,-44.16000229E-6,1.1999999,,,,,-44.16000229E-6,1.0599999,
,,,-44.14000068E-6,1.1999999,,,,,-44.14000068E-6,1.0599999,
,,,-44.11999907E-6,1.1999999,,,,,-44.11999907E-6,1.0400000,
,,,-44.10000111E-6,1.1999999,,,,,-44.10000111E-6,1.0400000,
,,,-44.07999950E-6,1.1999999,,,,,-44.07999950E-6,1.0400000,
,,,-44.06000153E-6,1.1999999,,,,,-44.06000153E-6,1.0400000,
,,,-44.03999992E-6,1.1999999,,,,,-44.03999992E-6,1.0200000,
,,,-44.02000195E-6,1.1999999,,,,,-44.02000195E-6,1.0200000,
,,,-44.00000034E-6,1.1799999,,,,,-44.00000034E-6,1.000000,
,,,-43.98000237E-6,1.1999999,,,,,-43.98000237E-6,1.000000,
,,,-43.96000077E-6,1.1799999,,,,,-43.96000077E-6,979.999959469E-3,
,,,-43.93999916E-6,1.1999999,,,,,-43.93999916E-6,979.999959469E-3,
,,,-43.92000119E-6,1.1999999,,,,,-43.92000119E-6,979.999959469E-3,
,,,-43.89999958E-6,1.1999999,,,,,-43.89999958E-6,959.999978542E-3,
,,,-43.88000161E-6,1.1999999,,,,,-43.88000161E-6,959.999978542E-3,
,,,-43.86000001E-6,1.1799999,,,,,-43.86000001E-6,939.999997616E-3,
,,,-43.84000204E-6,1.1999999,,,,,-43.84000204E-6,939.999997616E-3,
,,,-43.82000043E-6,1.1999999,,,,,-43.82000043E-6,939.999997616E-3,
,,,-43.80000246E-6,1.1799999,,,,,-43.80000246E-6,899.999976158E-3,
,,,-43.78000085E-6,1.1999999,,,,,-43.78000085E-6,919.999957085E-3,
,,,-43.75999924E-6,1.1799999,,,,,-43.75999924E-6,919.999957085E-3,
,,,-43.74000127E-6,1.1799999,,,,,-43.74000127E-6,899.999976158E-3,
,,,-43.71999967E-6,1.1799999,,,,,-43.71999967E-6,899.999976158E-3,
,,,-43.70000170E-6,1.1799999,,,,,-43.70000170E-6,879.999995232E-3,
,,,-43.68000009E-6,1.1799999,,,,,-43.68000009E-6,879.999995232E-3,
,,,-43.66000212E-6,1.1999999,,,,,-43.66000212E-6,859.999954700E-3,
,,,-43.64000051E-6,1.1799999,,,,,-43.64000051E-6,859.999954700E-3,
,,,-43.61999891E-6,1.1799999,,,,,-43.61999891E-6,859.999954700E-3,
,,,-43.60000094E-6,1.1799999,,,,,-43.60000094E-6,839.999973774E-3,
,,,-43.57999933E-6,1.1799999,,,,,-43.57999933E-6,839.999973774E-3,
,,,-43.56000136E-6,1.1799999,,,,,-43.56000136E-6,839.999973774E-3,
,,,-43.53999975E-6,1.1799999,,,,,-43.53999975E-6,799.999952316E-3,
,,,-43.52000178E-6,1.1799999,,,,,-43.52000178E-6,799.999952316E-3,
,,,-43.50000017E-6,1.1799999,,,,,-43.50000017E-6,799.999952316E-3,
,,,-43.48000220E-6,1.1799999,,,,,-43.48000220E-6,779.999971390E-3,
,,,-43.46000060E-6,1.1600000,,,,,-43.46000060E-6,779.999971390E-3,
,,,-43.43999899E-6,1.1600000,,,,,-43.43999899E-6,759.999990463E-3,
,,,-43.42000102E-6,1.1600000,,,,,-43.42000102E-6,759.999990463E-3,
,,,-43.39999941E-6,1.1799999,,,,,-43.39999941E-6,759.999990463E-3,
,,,-43.38000144E-6,1.1600000,,,,,-43.38000144E-6,740.000009537E-3,
,,,-43.35999984E-6,1.1600000,,,,,-43.35999984E-6,740.000009537E-3,
,,,-43.34000187E-6,1.1600000,,,,,-43.34000187E-6,719.999969006E-3,
,,,-43.32000026E-6,1.1600000,,,,,-43.32000026E-6,719.999969006E-3,
,,,-43.30000229E-6,1.1400000,,,,,-43.30000229E-6,719.999969006E-3,
,,,-43.28000068E-6,1.1400000,,,,,-43.28000068E-6,699.999988079E-3,
,,,-43.25999907E-6,1.1400000,,,,,-43.25999907E-6,699.999988079E-3,
,,,-43.24000111E-6,1.1400000,,,,,-43.24000111E-6,680.000007153E-3,
,,,-43.21999950E-6,1.1400000,,,,,-43.21999950E-6,680.000007153E-3,
,,,-43.20000153E-6,1.1400000,,,,,-43.20000153E-6,659.999966621E-3,
,,,-43.17999992E-6,1.1400000,,,,,-43.17999992E-6,659.999966621E-3,
,,,-43.16000195E-6,1.1400000,,,,,-43.16000195E-6,639.999985695E-3,
,,,-43.14000034E-6,1.1400000,,,,,-43.14000034E-6,620.000004768E-3,
,,,-43.12000237E-6,1.1200000,,,,,-43.12000237E-6,620.000004768E-3,
,,,-43.10000077E-6,1.1200000,,,,,-43.10000077E-6,620.000004768E-3,
,,,-43.07999916E-6,1.1200000,,,,,-43.07999916E-6,599.999964237E-3,
,,,-43.06000119E-6,1.1000000,,,,,-43.06000119E-6,579.999983311E-3,
,,,-43.03999958E-6,1.1200000,,,,,-43.03999958E-6,579.999983311E-3,
,,,-43.02000161E-6,1.1200000,,,,,-43.02000161E-6,579.999983311E-3,
